p,params,best_val_mse
1,4513,1.0121561713309548
2,4513,1.0016881362952137
3,4513,0.9997808384360101
5,4513,0.9762997514417938
8,4513,0.9505215966826539
10,4513,0.9576846924542761
15,4513,0.959648761221787
20,4513,0.9550911194528453
